0,1,2
755.2428588867188,341.24285888671875,0
792.5263061523438,308.47369384765625,1
809.0,304.1176452636719,2
843.5,299.6499938964844,3
870.7086181640625,294.8908996582031,4
904.5,289.0789489746094,5
985.2999877929688,285.5,7
1015.2825927734375,295.5,8
1048.0,314.1111145019531,9
1055.5,292.0,10
1106.6739501953125,273.6739196777344,11
1145.6612548828125,286.8548278808594,12
1164.0526123046875,313.0526428222656,13
1138.3358154296875,352.0074768066406,14
1140.3182373046875,381.0454406738281,15
1167.642822265625,412.3571472167969,16
1136.0,449.0,17
1152.287841796875,469.09368896484375,18
1159.2606201171875,519.8670043945312,19
1107.8199462890625,535.1799926757812,21
1079.5,552.5,22
1006.7161865234375,567.7161865234375,24
1014.0,563.558837890625,25
994.8636474609375,551.1363525390625,26
1003.0,527.76318359375,27
1016.8706665039062,507.9741516113281,28
1010.1424560546875,461.5611877441406,29
1005.8631591796875,409.97894287109375,31
1043.20458984375,326.1590881347656,33
1004.0999755859375,316.5,34
970.5,339.5,35
945.5,371.5,36
964.3512573242188,424.07025146484375,37
951.5869750976562,454.4130554199219,38
951.0,480.5,39
955.581298828125,487.2723693847656,40
917.5,542.5,43
879.9545288085938,567.4091186523438,44
855.7820434570312,545.7820434570312,45
867.9473876953125,517.9473876953125,46
829.7161865234375,465.7162170410156,47
855.9750366210938,456.52374267578125,48
884.5,420.0,49
867.5848388671875,309.0655517578125,50
815.7409057617188,325.35491943359375,51
809.5,312.0,52
782.5,355.6176452636719,53
729.1857299804688,351.1856994628906,54
735.5,398.5,55
740.5497436523438,438.4947509765625,56
752.6140747070312,435.7811584472656,57
774.7307739257812,460.73077392578125,58
766.1898803710938,504.8481140136719,59
719.0,529.5,62
688.5,563.8333129882812,63
645.75,573.0,64
614.0,570.5,65
590.0,557.5,66
566.5,519.5,67
601.0,515.0,68
587.0,514.0,69
629.5,518.5,70
659.7857055664062,473.5,71
653.0,475.8571472167969,72
626.82958984375,442.5788879394531,73
605.4500122070312,373.45001220703125,75
612.2919921875,323.7956237792969,76
570.770263671875,326.770263671875,77
562.8513793945312,349.8513488769531,78
511.0,451.0,81
493.73077392578125,478.26922607421875,82
497.5,506.5,83
494.3706359863281,518.8631591796875,84
492.5,546.6500244140625,85
442.4545593261719,533.5454711914062,86
402.6707458496094,566.63818359375,87
373.5,554.5,88
336.1617736816406,587.13232421875,89
332.1111145019531,537.111083984375,90
388.6624450683594,557.0736083984375,91
353.0,539.4249877929688,92
337.5,429.5,95
354.0,381.0,96
340.73394775390625,386.9266052246094,97
316.0,356.0,98
261.34783935546875,368.0869445800781,99
